Class,ID,Severity,Ruleset(s),Message,Description,Guidance,Context (Xpath),Test (Xpath)
iati,9.116.1,Error,iati,The AidType flag is invalid.,,{me:iati-url('codelists/AidTypeFlag/')},//iati-activity/crs-add/aidtype-flag/@code,"me:codeListFail(., 'AidTypeFlag', $iati-version)"
geo,9.117.1,Error,iati,The country code is invalid.,,{me:iati-url('codelists/Country/')},//iati-activity/location/administrative[@vocabulary = 'A4']/@code,"me:codeListFail(., 'Country', $iati-version)"
geo,9.118.1,Error,iati,The geographical precision code is invalid.,,{me:iati-url('codelists/GeographicalPrecision/')},//iati-activity/location/coordinates/@precision,"me:codeListFail(., 'GeographicalPrecision', $iati-version)"
geo,9.119.1,Error,iati,The gazetteer agency code is invalid.,,{me:iati-url('codelists/GazetteerAgency/')},//iati-activity/location/gazetteer-entry/@gazetteer-ref,"me:codeListFail(., 'GazetteerAgency', $iati-version)"
information,9.12.1,Error,iati,The contact information type is invalid.,,{me:iati-url('codelists/ContactType/')},//iati-activity/contact-info/@type,"me:codeListFail(., 'ContactType', $iati-version)"
geo,9.120.1,Error,iati,The location type code is invalid.,,{me:iati-url('codelists/LocationType/')},//iati-activity/location/feature-designation/@code,"me:codeListFail(., 'LocationType', $iati-version)"
financial,9.122.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-country-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.123.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-org-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.124.1,Error,iati,The DAC3 sector code is invalid.,,{me:iati-url('codelists/SectorCategory/')},//iati-activity/transaction/sector[@vocabulary = '2']/@code,"me:codeListFail(., 'SectorCategory', $iati-version)"
iati,9.125.1,Error,iati,The UNSDG goal code is invalid.,,{me:iati-url('codelists/UNSDG-Goals/')},//iati-activity/tag[@vocabulary = '2']/@code,"me:codeListFail(., 'UNSDG-Goals', $iati-version)"
iati,9.126.1,Error,iati,The UNSDG target code is invalid.,,{me:iati-url('codelists/UNSDG-Targets/')},//iati-activity/tag[@vocabulary = '3']/@code,"me:codeListFail(., 'UNSDG-Targets', $iati-version)"
iati,9.127.1,Error,iati,The earmarking category code is invalid.,,{me:iati-url('codelists/EarmarkingCategory/')},//iati-activity/default-aid-type[@vocabulary = '2']/@code,"me:codeListFail(., 'EarmarkingCategory', $iati-version)"
iati,9.128.1,Error,iati,The cash and voucher modality code is invalid.,,{me:iati-url('codelists/CashandVoucherModalities/')},//iati-activity/default-aid-type[@vocabulary = '4']/@code,"me:codeListFail(., 'CashandVoucherModalities', $iati-version)"
classifications,9.13.1,Error,iati,The country budget identifier vocabulary is invalid.,,{me:iati-url('codelists/BudgetIdentifierVocabulary/')},//iati-activity/country-budget-items/@vocabulary,"me:codeListFail(., 'BudgetIdentifierVocabulary', $iati-version)"
classifications,9.14.1,Error,iati,The country budget identifier does not exist.,,{me:iati-url('codelists/BudgetIdentifier/')},//iati-activity/country-budget-items/budget-item[../@vocabulary = '1']/@code,"($iati-version != '2.03') and me:codeListFail(., 'BudgetIdentifier', $iati-version)"
classifications,9.15.1,Error,iati,The country budget item description type is invalid.,,{me:iati-url('codelists/DescriptionType/')},//iati-activity/country-budget-items/budget-item/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
classifications,9.16.1,Error,iati,The CRS channel code is invalid.,,{me:iati-url('codelists/CRSChannelCode/')},//iati-activity/crs-add/channel-code/text(),"me:codeListFail(., 'CRSChannelCode', $iati-version)"
classifications,9.17.1,Error,iati,The CRS other flag code is invalid.,,{me:iati-url('codelists/CRSAddOtherFlags/')},//iati-activity/crs-add/other-flags/@code,"me:codeListFail(., 'CRSAddOtherFlags', $iati-version)"
classifications,9.18.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/crs-add/loan-status/@currency,"me:codeListFail(., 'Currency', $iati-version)"
classifications,9.19.1,Error,iati,The repayment plan code is invalid.,,{me:iati-url('codelists/LoanRepaymentPeriod/')},//iati-activity/crs-add/loan-terms/repayment-plan/@code,"me:codeListFail(., 'LoanRepaymentPeriod', $iati-version)"
financial,9.2.1,Error,iati,The code to indicate why no budget is provided is invalid.,,{me:iati-url('codelists/BudgetNotProvided/')},//iati-activity/@budget-not-provided,"me:codeListFail(., 'BudgetNotProvided', $iati-version)"
classifications,9.20.1,Error,iati,The repayment type is invalid.,,{me:iati-url('codelists/LoanRepaymentType/')},//iati-activity/crs-add/loan-terms/repayment-type/@code,"me:codeListFail(., 'LoanRepaymentType', $iati-version)"
classifications,9.21.1,Error,iati,The default aid type is invalid.,,{me:iati-url('codelists/AidType/')},//iati-activity/default-aid-type[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'AidType', $iati-version)"
classifications,9.22.1,Error,iati,The default aid type vocabulary is invalid.,,{me:iati-url('codelists/AidTypeVocabulary/')},//iati-activity/default-aid-type/@vocabulary,"me:codeListFail(., 'AidTypeVocabulary', $iati-version)"
classifications,9.23.1,Error,iati,The default finance type is invalid.,,{me:iati-url('codelists/FinanceType/')},//iati-activity/default-finance-type/@code,"me:codeListFail(., 'FinanceType', $iati-version)"
classifications,9.24.1,Error,iati,The default flow type is invalid.,,{me:iati-url('codelists/FlowType/')},//iati-activity/default-flow-type/@code,"me:codeListFail(., 'FlowType', $iati-version)"
classifications,9.25.1,Error,iati,The default tied aid status code is invalid.,,{me:iati-url('codelists/TiedStatus/')},//iati-activity/default-tied-status/@code,"me:codeListFail(., 'TiedStatus', $iati-version)"
information,9.26.1,Error,iati,The description type is invalid.,,{me:iati-url('codelists/DescriptionType/')},//iati-activity/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
documents,9.27.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
documents,9.28.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
documents,9.29.1,Error,iati,The document language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
financial,9.3.1,Error,iati,The default currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/@default-currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.30.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/fss/forecast/@currency,"me:codeListFail(., 'Currency', $iati-version)"
classifications,9.31.1,Error,iati,The humanitarian scope type is invalid.,,{me:iati-url('codelists/HumanitarianScopeType/')},//iati-activity/humanitarian-scope/@type,"me:codeListFail(., 'HumanitarianScopeType', $iati-version)"
classifications,9.32.1,Error,iati,The humanitarian scope vocabulary is invalid.,,{me:iati-url('codelists/HumanitarianScopeVocabulary/')},//iati-activity/humanitarian-scope/@vocabulary,"me:codeListFail(., 'HumanitarianScopeVocabulary', $iati-version)"
geo,9.33.1,Error,iati,The location's administrative vocabulary is invalid.,,{me:iati-url('codelists/GeographicVocabulary/')},//iati-activity/location/administrative/@vocabulary,"me:codeListFail(., 'GeographicVocabulary', $iati-version)"
geo,9.34.1,Error,iati,The location's feature designation code is invalid.,,{me:iati-url('codelists/LocationType/')},//iati-activity/location/feature-designation/@code,"me:codeListFail(., 'LocationType', $iati-version)"
geo,9.35.1,Error,iati,The location class code is invalid.,,{me:iati-url('codelists/GeographicLocationClass/')},//iati-activity/location/location-class/@code,"me:codeListFail(., 'GeographicLocationClass', $iati-version)"
geo,9.36.1,Error,iati,The location identifier vocabulary is invalid.,,{me:iati-url('codelists/GeographicVocabulary/')},//iati-activity/location/location-id/@vocabulary,"me:codeListFail(., 'GeographicVocabulary', $iati-version)"
geo,9.37.1,Error,iati,The location reach code is invalid.,,{me:iati-url('codelists/GeographicLocationReach/')},//iati-activity/location/location-reach/@code,"me:codeListFail(., 'GeographicLocationReach', $iati-version)"
geo,9.38.1,Error,iati,The location exactness code is invalid.,,{me:iati-url('codelists/GeographicExactness/')},//iati-activity/location/exactness/@code,"me:codeListFail(., 'GeographicExactness', $iati-version)"
identifiers,9.39.1,Error,iati,"The ""other identifier"" type is invalid.",,{me:iati-url('codelists/OtherIdentifierType/')},//iati-activity/other-identifier/@type,"me:codeListFail(., 'OtherIdentifierType', $iati-version)"
information,9.4.1,Error,iati,The activity date type is invalid.,,{me:iati-url('codelists/ActivityDateType/')},//iati-activity/activity-date/@type,"me:codeListFail(., 'ActivityDateType', $iati-version)"
participating,9.40.1,Error,iati,The CRS channel code is invalid.,,{me:iati-url('codelists/CRSChannelCode/')},//iati-activity/participating-org/@crs-channel-code,"me:codeListFail(., 'CRSChannelCode', $iati-version)"
participating,9.41.1,Error,iati,The organisation role is invalid.,,{me:iati-url('codelists/OrganisationRole/')},//iati-activity/participating-org/@role,"me:codeListFail(., 'OrganisationRole', $iati-version)"
participating,9.42.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/participating-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.43.1,Error,iati,The planned disbursement budget type is invalid.,,{me:iati-url('codelists/BudgetType/')},//iati-activity/planned-disbursement/@type,"me:codeListFail(., 'BudgetType', $iati-version)"
financial,9.44.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/planned-disbursement/provider-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.45.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/planned-disbursement/receiver-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.46.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/planned-disbursement/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
classifications,9.47.1,Error,iati,The policy marker code is invalid.,,{me:iati-url('codelists/PolicyMarker/')},//iati-activity/policy-marker[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'PolicyMarker', $iati-version)"
classifications,9.48.1,Error,iati,The policy marker significance is invalid.,,{me:iati-url('codelists/PolicySignificance/')},//iati-activity/policy-marker/@significance,"me:codeListFail(., 'PolicySignificance', $iati-version)"
classifications,9.49.1,Error,iati,The policy marker vocabulary is invalid.,,{me:iati-url('codelists/PolicyMarkerVocabulary/')},//iati-activity/policy-marker/@vocabulary,"me:codeListFail(., 'PolicyMarkerVocabulary', $iati-version)"
information,9.5.1,Error,iati,The activity status code is invalid.,,{me:iati-url('codelists/ActivityStatus/')},//iati-activity/activity-status/@code,"me:codeListFail(., 'ActivityStatus', $iati-version)"
geo,9.50.1,Error,iati,The recipient country code is invalid.,,{me:iati-url('codelists/Country/')},//iati-activity/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
geo,9.51.1,Error,iati,The recipient region code is invalid.,,{me:iati-url('codelists/Region/')},//iati-activity/recipient-region[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Region', $iati-version)"
geo,9.52.1,Error,iati,The recipient region vocabulary is invalid.,,{me:iati-url('codelists/RegionVocabulary/')},//iati-activity/recipient-region/@vocabulary,"me:codeListFail(., 'RegionVocabulary', $iati-version)"
relations,9.53.1,Error,iati,The related activity type is invalid.,,{me:iati-url('codelists/RelatedActivityType/')},//iati-activity/related-activity/@type,"me:codeListFail(., 'RelatedActivityType', $iati-version)"
identifiers,9.54.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/reporting-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
performance,9.55.1,Error,iati,The result type is invalid.,,{me:iati-url('codelists/ResultType/')},//iati-activity/result/@type,"me:codeListFail(., 'ResultType', $iati-version)"
performance,9.56.1,Error,iati,The result description type is invalid.,,{me:iati-url('codelists/DescriptionType/')},//iati-activity/result/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
performance,9.57.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
performance,9.58.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
performance,9.59.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/result/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
information,9.6.1,Error,iati,The activity scope code is invalid.,,{me:iati-url('codelists/ActivityScope/')},//iati-activity/activity-scope/@code,"me:codeListFail(., 'ActivityScope', $iati-version)"
performance,9.60.1,Error,iati,The indicator measure is invalid.,,{me:iati-url('codelists/IndicatorMeasure/')},//iati-activity/result/indicator/@measure,"me:codeListFail(., 'IndicatorMeasure', $iati-version)"
performance,9.61.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/baseline/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
performance,9.62.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/baseline/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
performance,9.63.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/result/indicator/baseline/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
performance,9.64.1,Error,iati,The indicator description type is invalid.,,{me:iati-url('codelists/DescriptionType/')},//iati-activity/result/indicator/description/@type,"me:codeListFail(., 'DescriptionType', $iati-version)"
performance,9.65.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
performance,9.66.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
performance,9.67.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/result/indicator/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
performance,9.68.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/period/actual/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
performance,9.69.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/period/actual/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
financial,9.7.1,Error,iati,The budget status is invalid.,,{me:iati-url('codelists/BudgetStatus/')},//iati-activity/budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
performance,9.70.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/result/indicator/period/actual/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
performance,9.71.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-activity/result/indicator/period/target/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
performance,9.72.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-activity/result/indicator/period/target/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
performance,9.73.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-activity/result/indicator/period/target/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
performance,9.74.1,Error,iati,The indicator reference code vocabulary is invalid.,,{me:iati-url('codelists/IndicatorVocabulary/')},//iati-activity/result/indicator/reference/@vocabulary,"me:codeListFail(., 'IndicatorVocabulary', $iati-version)"
performance,9.75.1,Error,iati,The result reference code vocabulary is invalid.,,{me:iati-url('codelists/ResultVocabulary/')},//iati-activity/result/reference/@vocabulary,"me:codeListFail(., 'ResultVocabulary', $iati-version)"
classifications,9.76.1,Error,iati,The OECD DAC sector is invalid.,,{me:iati-url('codelists/Sector/')},"//iati-activity/sector[@vocabulary = ('1', 'DAC') or not(@vocabulary)]/@code","me:codeListFail(., 'Sector', $iati-version)"
classifications,9.77.1,Error,iati,The OECD DAC category is invalid.,,{me:iati-url('codelists/SectorCategory/')},//iati-activity/sector[@vocabulary = '2']/@code,"me:codeListFail(., 'SectorCategory', $iati-version)"
classifications,9.78.1,Error,iati,The sector vocabulary is invalid.,,{me:iati-url('codelists/SectorVocabulary/')},//iati-activity/sector/@vocabulary,"me:codeListFail(., 'SectorVocabulary', $iati-version)"
classifications,9.79.1,Error,iati,The tag vocabulary is invalid.,,{me:iati-url('codelists/TagVocabulary/')},//iati-activity/tag/@vocabulary,"me:codeListFail(., 'TagVocabulary', $iati-version)"
financial,9.8.1,Error,iati,The budget type is invalid.,,{me:iati-url('codelists/BudgetType/')},//iati-activity/budget/@type,"me:codeListFail(., 'BudgetType', $iati-version)"
financial,9.80.1,Error,iati,The aid type is invalid.,,{me:iati-url('codelists/AidType/')},//iati-activity/transaction/aid-type[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'AidType', $iati-version)"
financial,9.81.1,Error,iati,The aid type vocabulary is invalid.,,{me:iati-url('codelists/AidTypeVocabulary/')},//iati-activity/transaction/aid-type/@vocabulary,"me:codeListFail(., 'AidTypeVocabulary', $iati-version)"
financial,9.82.1,Error,iati,The disbursement channel code is invalid.,,{me:iati-url('codelists/DisbursementChannel/')},//iati-activity/transaction/disbursement-channel/@code,"me:codeListFail(., 'DisbursementChannel', $iati-version)"
financial,9.83.1,Error,iati,The finance type is invalid.,,{me:iati-url('codelists/FinanceType/')},//iati-activity/transaction/finance-type/@code,"me:codeListFail(., 'FinanceType', $iati-version)"
financial,9.84.1,Error,iati,The flow type is invalid.,,{me:iati-url('codelists/FlowType/')},//iati-activity/transaction/flow-type/@code,"me:codeListFail(., 'FlowType', $iati-version)"
financial,9.85.1,Error,iati,The recipient country code is invalid.,,{me:iati-url('codelists/Country/')},//iati-activity/transaction/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
financial,9.86.1,Error,iati,The recipient region code is invalid.,,{me:iati-url('codelists/Region/')},//iati-activity/transaction/recipient-region[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Region', $iati-version)"
financial,9.87.1,Error,iati,The recipient region vocabulary is invalid.,,{me:iati-url('codelists/RegionVocabulary/')},//iati-activity/transaction/recipient-region/@vocabulary,"me:codeListFail(., 'RegionVocabulary', $iati-version)"
financial,9.88.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/transaction/provider-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.89.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-activity/transaction/receiver-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.9.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.90.1,Error,iati,The OECD DAC sector is invalid.,,{me:iati-url('codelists/Sector/')},//iati-activity/transaction/sector[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Sector', $iati-version)"
financial,9.91.1,Error,iati,The sector vocabulary is invalid.,,{me:iati-url('codelists/SectorVocabulary/')},//iati-activity/transaction/sector/@vocabulary,"me:codeListFail(., 'SectorVocabulary', $iati-version)"
financial,9.92.1,Error,iati,The tied status code is invalid.,,{me:iati-url('codelists/TiedStatus/')},//iati-activity/transaction/tied-status/@code,"me:codeListFail(., 'TiedStatus', $iati-version)"
financial,9.93.1,Error,iati,The transaction type is invalid.,,{me:iati-url('codelists/TransactionType/')},//iati-activity/transaction/transaction-type/@code,"me:codeListFail(., 'TransactionType', $iati-version)"
financial,9.94.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-activity/transaction/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
iati,9.95.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//@xml:lang,"me:codeListFail(., 'Language', $iati-version)"
organisation,9.96.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/@default-currency,"me:codeListFail(., 'Currency', $iati-version)"
iati,9.97.1,Error,iati,The IATI version of the dataset is not a valid version number.,,{me:iati-url('codelists/Version/')},//iati-organisations/@version,"me:codeListFail(., 'Version', $iati-version)"
documents,9.98.1,Error,iati,The document format is invalid.,,{me:iati-url('codelists/FileFormat/')},//iati-organisation/document-link/@format,"me:codeListFail(., 'FileFormat', $iati-version)"
documents,9.99.1,Error,iati,The document category code is invalid.,,{me:iati-url('codelists/DocumentCategory/')},//iati-organisation/document-link/category/@code,"me:codeListFail(., 'DocumentCategory', $iati-version)"
